pid,weight,x_utm,y_utm,lat,lon
0,72.71646346761983,550880.4042224124,5276348.635466751,47.63853710000001,-122.3226326
1,89.35456371243312,551106.0462073978,5271803.395392905,47.597625099999995,-122.3201592
2,1275.4010391020638,550330.6203935066,5272935.740513749,47.60787369999999,-122.33034360000002
3,67.02894950844235,550478.1555357017,5274189.553286769,47.619143,-122.32823630000001
4,72.71646346761983,550775.4675564151,5275648.963883186,47.632250299999995,-122.3241107
5,73.73053303143445,550778.1476078065,5275818.129913156,47.6337721,-122.32405540000002
6,861.2960378420141,550383.8118300651,5273775.19593502,47.6154223,-122.3295394
7,89.35456371243312,551128.9628937049,5271609.324420993,47.595877200000004,-122.31987699999999
8,89.35456371243312,550934.6881386384,5271603.101091697,47.59583649999999,-122.3224618
9,89.35456371243312,551115.6234474209,5271778.582647317,47.59740109999999,-122.3200347
10,73.73053303143445,550585.7220425559,5275431.666974177,47.6303101,-122.32666140000002
11,73.73053303143445,550388.7394362345,5274960.089202973,47.62608259999999,-122.3293375
12,17.254071848968326,550440.9234205479,5274664.891859602,47.623422600000005,-122.32867700000001
13,222.89257698519293,550410.3604718222,5274254.309280055,47.61973090000001,-122.329131
14,1275.4010391020638,550340.5508728279,5272864.203881858,47.60722929999999,-122.33021970000001
15,498.6205852961248,550458.550219975,5272713.343084672,47.6058628,-122.32866719999998
16,1275.4010391020638,550204.3166822966,5272999.216174129,47.6084546,-122.3320167
17,675.1680654684775,550574.5071005286,5272489.266263238,47.6038377,-122.3271504
18,89.35456371243312,551020.4591033522,5271812.371349984,47.597712599999994,-122.3212966
19,89.35456371243312,551006.9741357596,5271855.111236305,47.5980982,-122.32147100000002
20,89.35456371243312,551008.2691996302,5271652.00358775,47.596270700000005,-122.3214774
21,89.35456371243312,550996.7095338496,5271603.487404618,47.5958351,-122.3216368
22,89.35456371243312,551048.973566792,5271635.521100344,47.5961192,-122.32093789999999
23,140.3994728427065,549022.1247304706,5274349.066770668,47.62069,-122.347594
24,140.3994728427065,549310.5208606896,5274115.192825952,47.6185639,-122.3437825
25,140.3994728427065,549325.2572078183,5274115.228605123,47.6185631,-122.34358640000002
26,710.2890650336079,550369.4859985961,5274007.578442236,47.6175142,-122.32970330000002
27,67.02894950844235,550507.2659129967,5273913.140687428,47.616653799999995,-122.3278808
28,164.6243669448561,550349.1765587829,5273534.710256919,47.613261300000005,-122.3300279
29,190.46225795960805,550473.3330519648,5273889.928435992,47.6164476,-122.32833500000001
30,67.02894950844235,550484.6059543992,5273970.606944019,47.617172599999996,-122.32817569999999
31,67.02894950844235,550450.6788245324,5273879.906999369,47.6163592,-122.3286376
32,67.02894950844235,550480.2865807672,5274260.193971812,47.6197784,-122.32819979999998
33,1275.4010391020638,550263.0283670474,5273452.35238689,47.61252699999999,-122.3311836
34,222.89257698519293,550432.8772105717,5274300.029521925,47.620140499999984,-122.32882610000001
35,76.6904761904762,550444.5521546297,5274564.269315992,47.62251700000001,-122.3286403
36,73.73053303143445,550606.3460399018,5275423.854664609,47.630238199999994,-122.32638780000002
37,140.3994728427065,549307.854142238,5274373.5396684185,47.62088849999999,-122.34378890000002
38,481.6413848528156,549071.9689052693,5273355.522196769,47.6117471,-122.347042
39,89.35456371243312,551227.0609845837,5271610.896466819,47.59588359999999,-122.318572
40,222.89257698519293,550399.9079378347,5274853.763319655,47.62512509999999,-122.32920110000002
41,1275.4010391020638,550233.287139066,5273278.94188506,47.61096909999999,-122.33159920000001
42,181.60547746585303,549791.3378707583,5272736.26077152,47.6061206,-122.337541
43,481.6413848528156,548982.4519895945,5273390.802738752,47.61207129999999,-122.34822909999998
44,72.71646346761983,550901.1179236344,5275897.839298837,47.6344796,-122.3224093
45,140.3994728427065,549215.9451642323,5274504.192629225,47.62207099999999,-122.3449973
46,184.8392083966153,549510.5095672703,5274878.137319534,47.625413,-122.34103500000002
47,67.02894950844235,550601.5450023093,5274242.7730388325,47.619612200000006,-122.32658820000002
48,1275.4010391020638,550254.6492690471,5272920.358383233,47.6077412,-122.3313561
49,201.2631399977182,551349.6379693754,5272964.787974495,47.6080551,-122.316783
50,201.2631399977182,551148.7699241384,5272963.022354699,47.60805510000001,-122.3194556
51,228.118409685993,551114.546320499,5273421.822309733,47.612185700000005,-122.3198574
52,33.118958921703154,551495.5152214962,5275263.970458079,47.6287296,-122.31457190000002
53,33.118958921703154,551493.6581453488,5275328.71916383,47.629312299999995,-122.314589
54,33.118958921703154,551406.2806011373,5275600.856887228,47.631767700000005,-122.31572
55,33.118958921703154,551234.82472989,5275227.672438624,47.62842369999999,-122.3180458
